numero_processo;classe;assuntos;municipio;data_ajuizamento;data_ajuizamento_hora;ultima_atualizacao;ultima_atualizacao_hora;formato;codigo;orgao_julgador
00001490820228160065;Procedimento Investigatório Criminal (PIC-MP) ;Crimes contra o Meio Ambiente e o Patrimônio Genético;Cerro Azul;31/01/2022;11:02:19;;;{'codigo': 1, 'nome': 'Eletrônico'};00001490820228160065;CATANDUVAS - JUÍZO ÚNICO
00030104120248160147;Termo Circunstanciado;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;24/09/2024;10:25:58;;;{'codigo': 1, 'nome': 'Eletrônico'};00030104120248160147;RIO BRANCO DO SUL - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
00017145120158160065;Ação Penal - Procedimento Sumário;Crimes contra o Meio Ambiente e o Patrimônio Genético;Cerro Azul;04/09/2015;17:42:57;;;{'codigo': 1, 'nome': 'Eletrônico'};00017145120158160065;CATANDUVAS - JUÍZO ÚNICO
00018270620228160147;Inquérito Policial;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;09/06/2022;15:22:15;;;{'codigo': 1, 'nome': 'Eletrônico'};00018270620228160147;RIO BRANCO DO SUL - VARA CRIMINAL, INFÂNCIA E JUVENTUDE E FAMÍLIA E SUCESSÕES
00012845520228160065;Procedimento Investigatório Criminal (PIC-MP) ;Crimes contra o Meio Ambiente e o Patrimônio Genético;Cerro Azul;31/08/2022;16:21:12;;;{'codigo': 1, 'nome': 'Eletrônico'};00012845520228160065;CATANDUVAS - JUÍZO ÚNICO
00028192920168160065;Ação Penal - Procedimento Sumário;Crimes contra o Meio Ambiente e o Patrimônio Genético;Cerro Azul;15/12/2016;16:47:24;;;{'codigo': 1, 'nome': 'Eletrônico'};00028192920168160065;CATANDUVAS - JUÍZO ÚNICO
00008539420178160065;Ação Penal - Procedimento Sumário;Crimes contra o Meio Ambiente e o Patrimônio Genético;Cerro Azul;25/04/2017;16:15:24;;;{'codigo': 1, 'nome': 'Eletrônico'};00008539420178160065;CATANDUVAS - JUÍZO ÚNICO
00031194120138160147;Ação Penal - Procedimento Sumário;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;30/09/2013;16:26:24;;;{'codigo': 1, 'nome': 'Eletrônico'};00031194120138160147;RIO BRANCO DO SUL - VARA CRIMINAL, INFÂNCIA E JUVENTUDE E FAMÍLIA E SUCESSÕES
00016991420178160065;Ação Penal - Procedimento Sumário;Crimes contra o Meio Ambiente e o Patrimônio Genético;Cerro Azul;29/08/2017;12:35:55;;;{'codigo': 1, 'nome': 'Eletrônico'};00016991420178160065;CATANDUVAS - JUÍZO ÚNICO
00022396220178160065;Ação Penal - Procedimento Sumário;Crimes contra o Meio Ambiente e o Patrimônio Genético;Cerro Azul;16/11/2017;12:11:30;;;{'codigo': 1, 'nome': 'Eletrônico'};00022396220178160065;CATANDUVAS - JUÍZO ÚNICO
00016357720128160065;Ação Penal - Procedimento Sumário;Crimes contra o Meio Ambiente e o Patrimônio Genético;Cerro Azul;14/09/2012;12:32:43;;;{'codigo': 1, 'nome': 'Eletrônico'};00016357720128160065;CATANDUVAS - JUÍZO ÚNICO
