DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2018/08/30 16:55:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,5.0,0.0,0.3,-24.77,-48.923,15.5
2018/08/30 16:55:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,5.0,0.0,0.2,-24.876,-48.573,16.7
2018/08/30 16:55:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,5.0,0.0,0.4,-24.951,-49.411,12.0
2018/08/30 16:55:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,5.0,0.0,0.1,-24.976,-49.369,10.3
2018/08/30 16:55:00,AQUA_M-T,Brasil,PARANÁ,TUNAS DO PARANÁ,Mata Atlântica,5.0,0.0,0.2,-25.004,-49.093,8.5
2018/08/30 16:55:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,5.0,0.0,0.1,-25.184,-49.154,8.5
2018/08/30 16:55:00,AQUA_M-T,Brasil,PARANÁ,DOUTOR ULYSSES,Mata Atlântica,5.0,0.0,0.3,-24.621,-49.369,10.2
2018/09/06 17:00:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,2.0,0.0,0.3,-24.687,-48.858,7.3
2018/09/06 17:00:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,4.0,0.0,0.1,-24.87,-49.424,7.2
2018/09/08 16:45:00,AQUA_M-T,Brasil,PARANÁ,DOUTOR ULYSSES,Mata Atlântica,5.0,0.0,0.3,-24.67,-49.594,22.8
2018/09/08 16:45:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,6.0,0.0,0.2,-24.875,-49.288,26.9
2018/09/29 17:05:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,0.0,0.5,0.3,-24.918,-49.395,5.7
2018/09/24 16:45:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,4.0,0.0,0.2,-24.791,-49.319,10.8
2018/09/24 16:45:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,4.0,0.0,0.1,-24.798,-48.869,28.5
2018/09/24 16:45:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,4.0,0.0,0.1,-24.809,-48.868,22.6
2018/09/24 16:45:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,4.0,0.0,0.1,-24.813,-49.001,10.7
2018/09/24 16:45:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,4.0,0.0,0.7,-24.911,-49.473,25.6
2018/09/24 16:45:00,AQUA_M-T,Brasil,PARANÁ,ITAPERUÇU,Mata Atlântica,4.0,0.0,0.2,-25.062,-49.504,13.9
2018/09/24 16:45:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,4.0,0.0,0.7,-24.913,-49.489,38.3
2018/09/24 16:45:00,AQUA_M-T,Brasil,PARANÁ,ITAPERUÇU,Mata Atlântica,4.0,0.0,0.7,-25.007,-49.519,9.3
2018/09/25 17:30:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,4.0,0.0,0.1,-24.805,-48.87,29.7
2018/09/25 17:30:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,4.0,0.2,0.2,-25.157,-49.196,19.0
2018/09/22 17:00:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,2.0,0.0,0.0,-24.684,-48.606,7.8
2018/09/22 17:00:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,2.0,0.0,0.0,-24.685,-48.616,10.7
2018/09/22 17:00:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,2.0,0.0,0.0,-24.927,-48.579,9.7
2018/09/22 17:00:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,2.0,0.0,0.1,-25.056,-48.781,6.6
2018/09/22 17:00:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,2.0,0.0,0.2,-25.252,-49.089,14.4
2018/09/22 17:00:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,2.0,0.0,0.0,-25.253,-49.099,15.4
2018/10/22 17:10:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,3.0,0.0,0.2,-24.815,-49.406,19.3
2018/10/22 17:10:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,3.0,0.0,0.0,-24.939,-49.366,37.7
2018/10/22 17:10:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,3.0,0.0,0.0,-24.941,-49.376,19.3
2018/10/22 17:10:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,3.0,0.0,0.0,-24.949,-49.365,5.1
2018/11/11 16:45:00,AQUA_M-T,Brasil,PARANÁ,ITAPERUÇU,Mata Atlântica,8.0,0.0,0.2,-24.991,-49.6,16.0
2018/11/11 16:45:00,AQUA_M-T,Brasil,PARANÁ,ITAPERUÇU,Mata Atlântica,7.0,0.0,0.2,-25.02,-49.546,11.8
2018/11/11 16:45:00,AQUA_M-T,Brasil,PARANÁ,ITAPERUÇU,Mata Atlântica,8.0,0.0,0.2,-25.022,-49.562,15.0
2018/11/11 16:45:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,8.0,0.0,0.3,-24.715,-48.963,24.4
2018/11/16 17:05:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,2.0,0.1,0.3,-24.793,-48.965,13.5
2018/11/16 17:05:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,2.0,0.1,1.0,-25.043,-49.496,8.0
2018/11/16 17:05:00,AQUA_M-T,Brasil,PARANÁ,ITAPERUÇU,Mata Atlântica,2.0,0.1,0.9,-25.044,-49.506,8.2
2018/11/27 16:45:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,3.0,0.2,0.5,-24.972,-49.406,11.5
2018/12/04 16:50:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,2.0,0.0,0.3,-25.022,-49.368,8.3
2018/12/04 16:50:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,3.0,0.0,0.1,-25.27,-48.981,9.3
2018/12/06 16:40:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,5.0,0.0,0.4,-24.724,-48.872,25.9
2018/12/06 16:40:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,5.0,0.0,0.4,-24.734,-49.036,17.3
2018/12/06 16:40:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,5.0,0.0,0.7,-24.748,-49.459,20.2
2018/12/06 16:40:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,5.0,0.0,1.0,-24.776,-49.355,25.2
2018/12/06 16:40:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,5.0,0.0,0.6,-24.778,-49.348,18.5
2018/12/06 16:40:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,4.0,0.0,0.6,-24.87,-49.373,18.6
2018/12/06 16:40:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,4.0,0.0,0.6,-24.87,-49.379,20.2
2018/12/06 16:40:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,4.0,0.0,0.5,-24.987,-49.373,82.9
2018/12/06 16:40:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,4.0,0.0,0.4,-24.989,-49.393,26.3
2018/12/06 16:40:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,5.0,0.0,0.4,-25.146,-49.304,20.3
2018/12/06 16:40:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,5.0,0.0,0.4,-25.148,-49.296,15.0
2018/12/06 16:40:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,5.0,0.0,0.4,-24.729,-48.864,27.7
2018/12/06 16:40:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,5.0,0.0,0.4,-24.731,-49.044,21.9
2018/12/11 17:00:00,AQUA_M-T,Brasil,PARANÁ,ITAPERUÇU,Mata Atlântica,10.0,0.0,0.5,-25.075,-49.569,49.5
2018/12/11 17:00:00,AQUA_M-T,Brasil,PARANÁ,ITAPERUÇU,Mata Atlântica,10.0,0.0,0.5,-25.076,-49.58,48.4
2018/12/13 16:45:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,6.0,0.3,0.4,-24.945,-49.535,12.0
2018/12/13 16:45:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,6.0,0.3,0.5,-24.947,-49.552,13.4
