CODEALERTA,FONTE,BIOMA,ESTADO,MUNICIPIO,AREAHA,ANODETEC,DATADETEC,DTIMGANT,DTIMGDEP,DTPUBLI,VPRESSAO
24791,{GLAD},Mata Atlântica,PARANÁ,Itaperuçu,1.43,2019.0,2019-07-30,2019-05-06,2019-07-17,2020-05-11,agriculture
71089,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,4.41,2019.0,2019-10-27,2019-08-17,2019-10-30,2020-05-11,agriculture
134525,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,1.86,2020.0,2020-04-19,2020-04-03,2020-05-04,2020-07-07,agriculture
251620,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,3.94,2020.0,2020-10-29,2020-09-30,2020-10-20,2020-12-15,agriculture
315109,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,1.44,2021.0,2021-02-02,2020-11-26,2020-12-20,2021-04-20,agriculture
92731,{GLAD},Mata Atlântica,PARANÁ,Itaperuçu,1.23,2019.0,2019-06-04,2019-03-06,2019-06-04,2020-05-11,agriculture
96889,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,14.32,2019.0,2019-03-24,2018-11-13,2019-03-06,2020-05-11,agriculture
134630,{GLAD},Mata Atlântica,PARANÁ,Itaperuçu,4.31,2020.0,2020-02-15,2019-12-26,2020-02-09,2020-07-07,agriculture
251628,{GLAD},Mata Atlântica,PARANÁ,Tunas do Paraná,6.82,2020.0,2020-10-29,2020-09-19,2020-11-07,2020-12-15,agriculture
490180,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,2.08,2021.0,2021-11-17,2021-10-22,2021-11-16,2022-03-08,agriculture
584532,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,1.2,2022.0,2022-03-31,2021-10-22,2021-12-25,2022-07-19,agriculture
71249,{GLAD},Mata Atlântica,PARANÁ,Doutor Ulysses,4.69,2019.0,2019-10-27,2019-08-03,2019-11-29,2020-05-11,agriculture
134310,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,2.34,2020.0,2020-01-07,2019-10-01,2019-11-30,2020-07-07,agriculture
445040,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,8.93,2021.0,2021-10-16,2021-05-25,2021-08-20,2021-12-01,agriculture
490177,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,25.39,2021.0,2021-11-17,2021-08-20,2021-11-27,2022-02-22,agriculture
497786,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,7.29,2021.0,2021-12-26,2021-08-24,2022-01-20,2022-03-08,agriculture
626716,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Doutor Ulysses,6.65,2022.0,2022-07-31,2022-02-13,2022-05-28,2022-11-01,agriculture
232041,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,12.24,2020.0,2020-09-26,2020-07-23,2020-10-10,2020-11-17,agriculture
251705,{GLAD},Mata Atlântica,PARANÁ,Itaperuçu,6.34,2020.0,2020-10-20,2020-08-11,2020-11-07,2020-12-15,agriculture
315102,{GLAD},Mata Atlântica,PARANÁ,Bocaiúva do Sul,2.74,2021.0,2021-02-02,2020-08-04,2021-02-05,2021-04-20,agriculture
497083,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,3.59,2021.0,2021-12-10,2021-08-23,2021-12-05,2022-03-08,agriculture
624961,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Doutor Ulysses,1.36,2022.0,2022-07-31,2022-03-06,2022-05-19,2022-11-01,agriculture
96904,{GLAD},Mata Atlântica,PARANÁ,Rio Branco do Sul,8.4,2019.0,2019-01-11,2018-10-30,2019-01-11,2020-05-11,agriculture
134532,{GLAD},Mata Atlântica,PARANÁ,Rio Branco do Sul,2.72,2020.0,2020-03-10,2019-12-29,2020-03-10,2020-07-07,agriculture
281456,{GLAD},Mata Atlântica,PARANÁ,Doutor Ulysses,1.16,2020.0,2020-11-29,2020-09-30,2020-12-19,2021-01-19,agriculture
585918,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Doutor Ulysses,2.31,2022.0,2022-04-30,2021-11-27,2022-02-13,2022-07-19,agriculture
598735,{GLAD},Mata Atlântica,PARANÁ,Tunas do Paraná,2.85,2022.0,2022-01-19,2021-12-11,2022-02-22,2022-09-06,agriculture
71192,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,3.51,2019.0,2019-10-27,2019-10-01,2019-12-25,2020-05-11,agriculture
96886,{GLAD},Mata Atlântica,PARANÁ,Bocaiúva do Sul,4.74,2019.0,2019-03-25,2019-01-29,2019-03-23,2020-05-11,agriculture
134409,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,4.87,2020.0,2020-01-15,2019-10-30,2019-12-29,2021-03-30,agriculture
169372,{GLAD},Mata Atlântica,PARANÁ,Tunas do Paraná,4.65,2020.0,2020-05-30,2020-01-26,2020-06-18,2020-08-03,agriculture
315072,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,6.05,2021.0,2021-02-02,2020-09-11,2020-12-20,2021-04-20,agriculture
496124,{GLAD},Mata Atlântica,PARANÁ,Bocaiúva do Sul,3.24,2021.0,2021-12-27,2021-05-28,2021-11-16,2022-03-08,agriculture
543182,{GLAD},Mata Atlântica,PARANÁ,Tunas do Paraná,10.21,2021.0,2021-11-17,2021-07-30,2021-09-10,2022-04-19,agriculture
134461,{GLAD},Mata Atlântica,PARANÁ,Bocaiúva do Sul,2.76,2020.0,2020-02-16,2019-11-15,2020-05-31,2021-03-30,agriculture
207781,{GLAD},Mata Atlântica,PARANÁ,Itaperuçu,4.17,2020.0,2020-08-01,2020-06-22,2020-08-26,2021-03-30,agriculture
232045,{GLAD},Mata Atlântica,PARANÁ,Itaperuçu,5.8,2020.0,2020-09-26,2020-07-20,2020-10-10,2020-11-17,agriculture
583723,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,2.23,2022.0,2022-03-31,2021-08-23,2022-01-19,2022-07-12,agriculture
232042,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,5.77,2020.0,2020-09-26,2020-08-11,2020-10-10,2020-11-17,agriculture
315142,{GLAD},Mata Atlântica,PARANÁ,Rio Branco do Sul,20.16,2021.0,2021-02-18,2020-09-12,2021-02-23,2021-04-20,agriculture
